title,provider,certificate_type,rating,difficulty,students_enrolled,platform,price,reviews,lectures,duration,category
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,1.0,150k,Coursera,,,,,Unknown
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,1.0,97k,Coursera,,,,,Unknown
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,0.0,6.6k,Coursera,,,,,Unknown
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,,200k,Coursera,,,,,Unknown
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,0.0,180k,Coursera,,,,,Unknown
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,1.0,4.2k,Coursera,,,,,Unknown
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,1.0,310k,Coursera,,,,,Unknown
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,0.0,3.9k,Coursera,,,,,Unknown
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,0.0,150k,Coursera,,,,,Unknown
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,,79k,Coursera,,,,,Unknown
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,,31k,Coursera,,,,,Unknown
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,,15k,Coursera,,,,,Unknown
Arts and Heritage Management,Università Bocconi,COURSE,4.8,,15k,Coursera,,,,,Unknown
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,0.0,10k,Coursera,,,,,Unknown
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,,66k,Coursera,,,,,Unknown
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,1.0,33k,Coursera,,,,,Unknown
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,,56k,Coursera,,,,,Unknown
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,1.0,7.3k,Coursera,,,,,Unknown
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,1.0,9.2k,Coursera,,,,,Unknown
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,2.0,22k,Coursera,,,,,Unknown
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,2.0,9.7k,Coursera,,,,,Unknown
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,0.0,13k,Coursera,,,,,Unknown
Basic Statistics,University of Amsterdam,COURSE,4.6,0.0,180k,Coursera,,,,,Unknown
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,1.0,91k,Coursera,,,,,Unknown
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,1.0,29k,Coursera,,,,,Unknown
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,,210k,Coursera,,,,,Unknown
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,0.0,28k,Coursera,,,,,Unknown
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,1.0,4.2k,Coursera,,,,,Unknown
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,0.0,6.5k,Coursera,,,,,Unknown
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,0.0,61k,Coursera,,,,,Unknown
Behavioral Finance,Duke University,COURSE,4.4,,55k,Coursera,,,,,Unknown
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,,2.3k,Coursera,,,,,Unknown
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,0.0,8.8k,Coursera,,,,,Unknown
Biohacking Your Brain's Health,Emory University,COURSE,4.6,0.0,35k,Coursera,,,,,Unknown
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,0.0,88k,Coursera,,,,,Unknown
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,0.0,14k,Coursera,,,,,Unknown
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,1.0,1.9k,Coursera,,,,,Unknown
Blockchain,University at Buffalo,SPECIALIZATION,4.6,1.0,68k,Coursera,,,,,Unknown
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,0.0,21k,Coursera,,,,,Unknown
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,0.0,1.6k,Coursera,,,,,Unknown
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,0.0,31k,Coursera,,,,,Unknown
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,0.0,9.5k,Coursera,,,,,Unknown
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,0.0,57k,Coursera,,,,,Unknown
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,0.0,26k,Coursera,,,,,Unknown
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,,84k,Coursera,,,,,Unknown
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,0.0,15k,Coursera,,,,,Unknown
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,,95k,Coursera,,,,,Unknown
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,1.0,7.3k,Coursera,,,,,Unknown
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,0.0,22k,Coursera,,,,,Unknown
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,1.0,5.8k,Coursera,,,,,Unknown
